id,date,day,month,year,day_of_week,is_weekend
2c8f52bd-622f-4b38-b37f-bed6db43d7b3,2014-05-29,29,5,2014,Thursday,False
50337634-8646-4398-93ec-6f4e8676c950,2014-05-30,30,5,2014,Friday,False
cc58923b-c3bb-4fa2-bdb1-40c30678178d,2014-05-31,31,5,2014,Saturday,True
3ccf6f25-d36b-489a-8d39-b34a19c0faa3,2014-06-01,1,6,2014,Sunday,True
614eeb4d-9d6f-4c0f-a5de-195a36989741,2014-06-02,2,6,2014,Monday,False
ec5394ae-f8e3-4e0b-b264-08b5b979da7f,2014-06-03,3,6,2014,Tuesday,False
2edabcd6-b2a6-4b98-8798-bc95f8fe6327,2014-06-04,4,6,2014,Wednesday,False
141d7ca1-e3aa-4bf7-992f-372dca283f9c,2014-06-05,5,6,2014,Thursday,False
f2500b43-9107-40f8-bb77-7f5d299f7a38,2014-06-06,6,6,2014,Friday,False
aed0ba93-ff4f-432d-a33d-1f39869586e5,2014-06-07,7,6,2014,Saturday,True
9e669ef2-01be-43fb-b26b-503eedaa2326,2014-06-08,8,6,2014,Sunday,True
09b91880-15c0-4a15-9ffa-fa3b2e160924,2014-06-09,9,6,2014,Monday,False
4101e122-875d-4ede-9708-cdf34d06dff9,2014-06-10,10,6,2014,Tuesday,False
3e3ca191-4586-4ae9-bb11-3a2bc382325a,2014-06-11,11,6,2014,Wednesday,False
a46ce387-2040-4336-8e31-008e7b78ec6f,2014-06-12,12,6,2014,Thursday,False
0510a9f4-5e54-487e-a106-31ed137edf83,2014-06-13,13,6,2014,Friday,False
134a3298-79be-47fe-85bc-df02a4655388,2014-06-14,14,6,2014,Saturday,True
6488ec61-4922-4c46-aa9a-2aa4f89024bb,2014-06-15,15,6,2014,Sunday,True
fe498d18-3592-46c3-9aa9-f82a92aad8ef,2014-06-16,16,6,2014,Monday,False
8d8bb978-f55d-4ae1-adcf-607bd9a80c2c,2014-06-17,17,6,2014,Tuesday,False
0cd8e1db-c017-4034-a4d8-050797535c32,2014-06-18,18,6,2014,Wednesday,False
3c33a2fa-53a9-4ca5-865a-1b666ffe5e5e,2014-06-19,19,6,2014,Thursday,False
fc432e2c-d156-42d5-bb9f-bed75bcd98f0,2014-06-20,20,6,2014,Friday,False
3c8bf255-1952-4266-8c16-482e41cd7f66,2014-06-21,21,6,2014,Saturday,True
49e50a91-6a01-4ca8-bedb-de8b03129e76,2014-06-22,22,6,2014,Sunday,True
24f36ad2-8290-4a62-aa98-ff0e7a3c1377,2014-06-23,23,6,2014,Monday,False
4d5938ab-a737-4f26-a8a6-f5ab0122943f,2014-06-24,24,6,2014,Tuesday,False
